Player,Touches,Att Pen,Att,Succ,Carries,TotDist,Mis,Dis,Rec
Paxten Aaronson,99,17,6,3,55,314,5,2,65
Sargis Adamyan,310,48,27,6,166,924,28,16,191
Karim Adeyemi,676,65,94,34,455,3163,43,26,478
Amine Adli,786,67,58,26,467,2610,52,18,598
Felix Agu,33,2,3,0,19,165,1,2,19
Naouirou Ahamada,674,22,44,20,408,2988,34,11,453
Ludovic Ajorque,555,76,12,7,253,989,46,13,415
Kevin Akpoguma,1306,16,22,7,691,3422,16,7,742
Lucas Alario,131,24,8,5,53,234,4,8,91
Faride Alidou,139,5,10,2,63,413,5,5,71
Éder Álvarez Balanta,114,2,4,3,55,234,1,2,53
Lukáš Ambros,9,0,1,0,4,28,0,0,4
Nadiem Amiri,624,15,38,18,352,2134,14,10,430
Robert Andrich,1724,19,7,5,743,3500,20,4,1073
Angeliño,1798,32,28,13,818,3134,27,15,966
Waldemar Anton,2435,36,38,19,1383,8281,24,17,1531
Christopher Antwi-Adjei,996,63,80,31,525,3766,89,32,560
Charles Aránguiz,368,8,7,4,172,681,8,2,244
Maximilian Arnold,1927,11,17,8,974,4616,18,22,1064
Takuma Asano,556,80,35,13,343,2354,62,31,391
Fisnik Asllani,95,16,3,1,56,182,7,2,75
Mehmet Aydin,380,5,14,4,166,963,13,3,158
Ayman Azhil,0,0,0,0,0,0,0,0,0
Sardar Azmoun,344,48,11,6,167,769,23,10,256
Sanoussy Ba,0,0,0,0,0,0,0,0,0
Mitchel Bakker,1139,29,39,11,575,2706,23,15,702
Ridle Baku,1889,45,61,23,1052,4917,59,20,1155
Aymen Barkok,360,16,20,9,185,1396,16,9,216
Leandro Barreiro Martins,870,58,19,5,356,1564,39,13,372
Gil Bastião Dias,246,13,19,10,157,1079,17,11,164
Maximilian Bauer,982,13,5,2,461,2267,10,5,501
Oliver Baumann,1503,0,0,0,903,4083,0,0,757
Timo Baumgartl,372,9,0,0,212,1099,3,0,227
Julian Baumgartlinger,292,3,4,1,143,462,7,3,151
Christoph Baumgartner,1340,118,116,54,767,4948,81,36,900
Noah Joel Sarenren Bazee,8,1,2,1,4,45,1,0,5
Ihlas Bebou,576,69,58,26,307,1655,61,17,376
Sheraldo Becker,908,117,59,26,617,4379,62,35,679
Kevin Behrens,687,83,24,12,306,1254,45,20,512
Stefan Bell,1551,18,7,6,767,3351,13,4,760
Karim Bellarabi,68,4,5,1,41,183,1,2,55
Jude Bellingham,2091,105,151,86,1342,7887,63,58,1568
Ramy Bensebaini,1885,54,32,12,940,4235,35,18,1061
Mergim Berisha,551,81,31,5,263,1276,42,27,324
Ermin Bičakčić,137,4,0,0,59,207,2,0,62
Tom Bischof,182,8,9,1,101,431,10,6,105
Leonardo Bittencourt,1031,38,64,26,611,3691,42,10,706
Janis Blaswich,1191,0,1,1,786,2838,0,0,752
Daley Blind,117,0,0,0,62,258,1,0,74
Kevin-Prince Boateng,320,15,4,1,156,519,10,8,203
Jean-Paul Boëtius,564,7,17,7,275,1049,21,12,323
Yvandro Borges Sanches,15,0,2,2,9,70,2,4,9
Sebastiaan Bornauw,1433,16,4,2,871,3766,5,3,948
Rafael Borré,571,67,32,16,349,1694,44,14,428
Julian Brandt,1634,80,81,41,989,5335,50,35,1186
Fabian Bredlow,625,0,0,0,383,1919,0,0,339
Josip Brekalo,168,3,8,5,106,752,3,6,134
John Brooks,951,7,5,2,479,2169,1,1,494
Moritz Broschinski,88,17,3,0,50,260,13,5,55
Cédric Brunner,1402,10,15,9,621,3186,14,13,642
Jacob Bruun Larsen,124,16,7,2,74,494,9,6,85
Lee Buchanan,350,9,7,0,168,724,7,3,185
Marius Bülter,1117,136,96,32,660,4349,81,28,773
Delano Burgzorg,93,11,13,6,67,410,13,6,75
Jonathan Burkardt,180,37,20,11,128,642,17,9,139
Oliver Burke,118,13,6,2,77,366,12,4,93
Aurélio Buta,928,47,30,10,423,2523,23,9,506
Jamie Bynoe-Gittens,251,37,55,20,179,1422,22,5,192
Anthony Caci,1370,20,21,9,667,3023,14,8,681
Kerim Calhanoglu,58,1,3,0,17,79,3,0,21
Daniel Caligiuri,200,5,11,5,82,441,5,4,83
Emre Can,1510,18,25,13,927,4997,15,11,1015
João Cancelo,1014,38,65,34,636,3732,20,9,701
Irvin Cardona,120,16,7,4,68,359,13,4,72
Koen Casteels,1653,1,0,0,1030,4948,0,0,884
Julian Chabot,1434,17,8,4,765,3090,4,2,825
Timothy Chandler,71,2,4,1,28,99,2,0,37
