Player,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls_90,Ast_90,G+A_90,G-PK_90,G+A-PK_90,xG_90,xAG_90,xG+xAG_90,npxG_90,npxG+xAG_90
Paxten Aaronson,7,0,173,1.9,0,0,0,0,0,0,1,0,0.2,0.2,0,0.2,8,6,15,0,0,0,0,0,0.09,0.03,0.11,0.09,0.11
Sargis Adamyan,24,4,644,7.2,1,2,3,1,0,0,3,0,3.4,3.4,0.8,4.1,12,24,58,0.14,0.28,0.42,0.14,0.42,0.47,0.11,0.58,0.47,0.58
Karim Adeyemi,24,20,1386,15.4,6,5,11,6,0,1,9,0,5,4.3,3.7,8,49,47,131,0.39,0.32,0.71,0.39,0.71,0.33,0.24,0.57,0.28,0.52
Amine Adli,26,16,1435,15.9,5,3,8,5,0,0,2,2,5,5,1.7,6.7,46,49,137,0.31,0.19,0.5,0.31,0.5,0.31,0.11,0.42,0.31,0.42
Felix Agu,3,0,49,0.5,0,0,0,0,0,0,0,0,0,0,0.1,0.1,0,2,2,0,0,0,0,0,0.07,0.14,0.22,0.07,0.22
Naouirou Ahamada,17,17,1398,15.5,2,2,4,2,0,0,4,1,0.8,0.8,1.2,2.1,43,56,54,0.13,0.13,0.26,0.13,0.26,0.05,0.08,0.13,0.05,0.13
Ludovic Ajorque,17,15,1211,13.5,6,1,7,6,0,0,5,0,4.6,4.6,1.7,6.4,5,31,85,0.45,0.07,0.52,0.45,0.52,0.34,0.13,0.47,0.34,0.47
Kevin Akpoguma,28,21,1950,21.7,0,0,0,0,0,0,11,0,0.6,0.6,0.5,1.2,17,85,23,0,0,0,0,0,0.03,0.03,0.05,0.03,0.05
Lucas Alario,20,2,331,3.7,1,0,1,1,0,0,0,0,1.4,1.4,0,1.5,2,8,17,0.27,0,0.27,0.27,0.27,0.39,0.01,0.4,0.39,0.4
Faride Alidou,15,0,182,2,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.6,8,16,24,0,0.49,0.49,0,0.49,0.05,0.24,0.28,0.05,0.28
Éder Álvarez Balanta,6,3,238,2.6,0,0,0,0,0,0,3,0,0.1,0.1,0.3,0.4,3,12,0,0,0,0,0,0,0.05,0.1,0.15,0.05,0.15
Lukáš Ambros,1,0,17,0.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Nadiem Amiri,25,9,977,10.9,4,1,5,3,1,1,6,0,1.9,1.1,1.1,2.2,30,55,30,0.37,0.09,0.46,0.28,0.37,0.17,0.1,0.27,0.1,0.2
Robert Andrich,29,28,2406,26.7,2,2,4,2,0,0,7,0,1.6,1.6,1.2,2.8,12,99,8,0.07,0.07,0.15,0.07,0.15,0.06,0.04,0.11,0.06,0.11
Angeliño,33,30,2617,29.1,0,8,8,0,0,0,2,0,1.1,1.1,7.2,8.3,24,108,120,0,0.28,0.28,0,0.28,0.04,0.25,0.28,0.04,0.28
Waldemar Anton,34,34,2934,32.6,1,2,3,1,0,0,4,0,1.6,1.6,1.4,3,56,135,52,0.03,0.06,0.09,0.03,0.09,0.05,0.04,0.09,0.05,0.09
Christopher Antwi-Adjei,29,22,1981,22,3,6,9,3,0,0,2,0,2.2,2.2,3.8,6,67,36,231,0.14,0.27,0.41,0.14,0.41,0.1,0.17,0.27,0.1,0.27
Charles Aránguiz,10,4,493,5.5,1,0,1,1,0,0,1,0,0.3,0.3,0.2,0.5,3,32,7,0.18,0,0.18,0.18,0.18,0.06,0.04,0.1,0.06,0.1
Maximilian Arnold,32,32,2767,30.7,5,3,8,2,3,5,5,0,5,1,4.9,5.9,29,150,19,0.16,0.1,0.26,0.07,0.16,0.16,0.16,0.32,0.03,0.19
Takuma Asano,25,21,1713,19,3,3,6,3,0,0,1,0,5.6,5.6,2.1,7.7,32,34,119,0.16,0.16,0.32,0.16,0.32,0.29,0.11,0.41,0.29,0.41
Fisnik Asllani,8,0,167,1.9,0,0,0,0,0,0,0,0,1.7,1.7,0.2,1.8,4,1,19,0,0,0,0,0,0.88,0.1,0.98,0.88,0.98
Mehmet Aydin,16,3,567,6.3,0,0,0,0,0,0,0,0,0.2,0.2,0.8,1,9,15,21,0,0,0,0,0,0.03,0.12,0.15,0.03,0.15
Ayman Azhil,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sardar Azmoun,23,8,927,10.3,4,1,5,4,0,0,1,0,3.5,3.5,2.5,6,11,32,45,0.39,0.1,0.49,0.39,0.49,0.34,0.24,0.58,0.34,0.58
Sanoussy Ba,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
