,player,country_of_origin,team,league,position,age_category
0,Sadio Mané,SEN,Bayern Munich,Bundes Liga,Forward,middle_age
1,Manuel Neuer,GER,Bayern Munich,Bundes Liga,Goalkeeper,seniors
2,Thomas Müller,GER,Bayern Munich,Bundes Liga,Forward,seniors
3,Leroy Sané,GER,Bayern Munich,Bundes Liga,Midfield,middle_age
4,Joshua Kimmich,GER,Bayern Munich,Bundes Liga,Midfield,middle_age
5,Niklas Süle,GER,Dortmund,Bundes Liga,Defence,middle_age
6,Serge Gnabry,GER,Bayern Munich,Bundes Liga,Forward,middle_age
7,Leon Goretzka,GER,Bayern Munich,Bundes Liga,Midfield,middle_age
8,Kingsley Coman,FRA,Bayern Munich,Bundes Liga,Forward,middle_age
9,Matthijs de Ligt,NED,Bayern Munich,Bundes Liga,Defence,young
10,João Cancelo,POR,Bayern Munich,Bundes Liga,Defence,middle_age
11,João Cancelo,POR,Bayern Munich,Bundes Liga,Defence,middle_age
12,João Cancelo,POR,Bayern Munich,Bundes Liga,Defence,middle_age
13,João Cancelo,POR,Bayern Munich,Bundes Liga,Defence,middle_age
14,João Cancelo,POR,Manchester City,Premier League,Defence,middle_age
15,João Cancelo,POR,Manchester City,Premier League,Defence,middle_age
16,João Cancelo,POR,Manchester City,Premier League,Defence,middle_age
17,João Cancelo,POR,Manchester City,Premier League,Defence,middle_age
18,Lucas Hernández,FRA,Bayern Munich,Bundes Liga,Defence,middle_age
19,Marcel Sabitzer,AUT,Bayern Munich,Bundes Liga,Midfield,middle_age
20,Marcel Sabitzer,AUT,Bayern Munich,Bundes Liga,Midfield,middle_age
21,Marcel Sabitzer,AUT,Bayern Munich,Bundes Liga,Midfield,middle_age
22,Marcel Sabitzer,AUT,Bayern Munich,Bundes Liga,Midfield,middle_age
23,Marcel Sabitzer,AUT,Manchester Utd,Premier League,Midfield,middle_age
24,Marcel Sabitzer,AUT,Manchester Utd,Premier League,Midfield,middle_age
25,Marcel Sabitzer,AUT,Manchester Utd,Premier League,Midfield,middle_age
26,Marcel Sabitzer,AUT,Manchester Utd,Premier League,Midfield,middle_age
27,Alphonso Davies,CAN,Bayern Munich,Bundes Liga,Defence,young
28,Marco Reus,GER,Dortmund,Bundes Liga,Midfield,seniors
29,Sébastien Haller,CIV,Dortmund,Bundes Liga,Forward,middle_age
30,Christopher Nkunku,FRA,RB Leipzig,Bundes Liga,Forward,young
31,Timo Werner,GER,RB Leipzig,Bundes Liga,Forward,middle_age
32,Mats Hummels,GER,Dortmund,Bundes Liga,Defence,seniors
33,Thomas Meunier,BEL,Dortmund,Bundes Liga,Defence,middle_age
34,Dayot Upamecano,FRA,Bayern Munich,Bundes Liga,Defence,young
35,Ryan Gravenberch,NED,Bayern Munich,Bundes Liga,Midfield,young
36,Emre Can,GER,Dortmund,Bundes Liga,Midfield,middle_age
37,Noussair Mazraoui,MAR,Bayern Munich,Bundes Liga,Defence,young
38,Matthias Ginter,GER,Freiburg,Bundes Liga,Defence,middle_age
39,David Raum,GER,RB Leipzig,Bundes Liga,Defence,young
40,Julian Brandt,GER,Dortmund,Bundes Liga,Midfield,middle_age
41,Emil Forsberg,SWE,RB Leipzig,Bundes Liga,Midfield,middle_age
42,Anthony Modeste,FRA,Dortmund,Bundes Liga,Forward,seniors
43,Patrik Schick,CZE,Leverkusen,Bundes Liga,Forward,middle_age
44,Péter Gulácsi,HUN,RB Leipzig,Bundes Liga,Goalkeeper,seniors
45,Maximilian Arnold,GER,Wolfsburg,Bundes Liga,Midfield,middle_age
46,Abdou Diallo,SEN,RB Leipzig,Bundes Liga,Defence,middle_age
47,Lukas Klostermann,GER,RB Leipzig,Bundes Liga,Defence,middle_age
48,André Silva,POR,RB Leipzig,Bundes Liga,Forward,middle_age
49,Karim Adeyemi,GER,Dortmund,Bundes Liga,Forward,young
50,Benjamin Pavard,FRA,Bayern Munich,Bundes Liga,Defence,middle_age
51,Jamal Musiala,GER,Bayern Munich,Bundes Liga,Midfield,young
52,Karim Bellarabi,GER,Leverkusen,Bundes Liga,Forward,seniors
53,Alassane Pléa,FRA,Gladbach,Bundes Liga,Forward,middle_age
54,Nico Schlotterbeck,GER,Dortmund,Bundes Liga,Defence,young
55,Angeliño,ESP,Hoffenheim,Bundes Liga,Defence,young
56,Dominick Drexler,GER,Schalke 04,Bundes Liga,Midfield,seniors
57,Donyell Malen,NED,Dortmund,Bundes Liga,Forward,young
58,Sebastian Rudy,GER,Hoffenheim,Bundes Liga,Midfield,seniors
59,Dani Olmo,ESP,RB Leipzig,Bundes Liga,Midfield,young
60,Dominik Szoboszlai,HUN,RB Leipzig,Bundes Liga,Midfield,young
