,age,annual_wages_eur,mp,starts,min,90s,gls,ast,g+a,g-pk,pk,pkatt,crdy,crdr,xg,npxg,xag,npxg+xag,prgc,prgp,prgr,gls_90,ast_90,g+a_90,g-pk_90,g+a-pk_90,xg_90,xag_90,xg+xag_90,npxg_90,npxg+xag_90,touches,att_pen,att,succ,carries,totdist,mis,dis,rec,position_defence,position_forward,position_goalkeeper,position_midfield
0,30.0,22000000.0,25.0,25.0,25.0,15.8,7.0,5.0,12.0,6.0,1.0,2.0,2.0,0.0,8.9,7.2,3.9,11.1,59.0,43.0,164.0,0.44,0.32,0.76,0.38,0.69,0.56,0.25,0.81,0.46,0.7,622.0,130.0,53.0,24.0,410.0,2602.0,53.0,14.0,486.0,0.0,1.0,0.0,0.0
1,36.0,21000000.0,12.0,12.0,12.0,12.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.0,0.2,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.02,0.0,0.02,0.02,0.02,528.0,2.0,0.0,0.0,338.0,1534.0,1.0,0.0,318.0,0.0,0.0,1.0,0.0
2,32.0,20500000.0,27.0,27.0,27.0,18.5,7.0,8.0,15.0,7.0,0.0,0.0,0.0,0.0,8.9,8.9,6.6,15.5,33.0,88.0,182.0,0.38,0.43,0.81,0.38,0.81,0.48,0.36,0.84,0.48,0.84,1020.0,114.0,18.0,9.0,574.0,2013.0,49.0,20.0,791.0,0.0,1.0,0.0,0.0
3,26.0,20000000.0,32.0,32.0,32.0,22.3,8.0,7.0,15.0,8.0,0.0,0.0,4.0,0.0,8.5,8.5,4.3,12.8,77.0,134.0,198.0,0.36,0.31,0.67,0.36,0.67,0.38,0.19,0.57,0.38,0.57,1379.0,101.0,136.0,75.0,941.0,6150.0,60.0,60.0,1134.0,0.0,0.0,0.0,1.0
4,27.0,19500000.0,33.0,33.0,33.0,31.2,5.0,6.0,11.0,4.0,1.0,1.0,6.0,1.0,2.2,1.4,7.0,8.4,42.0,315.0,56.0,0.16,0.19,0.35,0.13,0.32,0.07,0.22,0.3,0.05,0.27,3073.0,20.0,25.0,13.0,1762.0,8923.0,26.0,26.0,2065.0,0.0,0.0,0.0,1.0
5,26.0,18870000.0,29.0,29.0,29.0,23.5,2.0,3.0,5.0,2.0,0.0,0.0,2.0,0.0,2.2,2.2,2.2,4.4,37.0,137.0,57.0,0.08,0.13,0.21,0.08,0.21,0.09,0.09,0.19,0.09,0.19,2031.0,40.0,10.0,9.0,1321.0,6298.0,10.0,8.0,1527.0,1.0,0.0,0.0,0.0
6,27.0,18870000.0,34.0,34.0,34.0,21.6,14.0,5.0,19.0,13.0,1.0,1.0,0.0,0.0,11.2,10.4,5.3,15.7,74.0,82.0,217.0,0.65,0.23,0.88,0.6,0.83,0.52,0.25,0.76,0.48,0.73,1149.0,146.0,64.0,28.0,747.0,4275.0,51.0,26.0,880.0,0.0,1.0,0.0,0.0
7,27.0,18000000.0,27.0,27.0,27.0,19.2,3.0,2.0,5.0,3.0,0.0,0.0,5.0,0.0,4.7,4.7,2.3,7.1,42.0,114.0,62.0,0.16,0.1,0.26,0.16,0.26,0.25,0.12,0.37,0.25,0.37,1272.0,43.0,17.0,9.0,646.0,3087.0,20.0,11.0,817.0,0.0,0.0,0.0,1.0
8,26.0,17000000.0,24.0,24.0,24.0,15.7,8.0,5.0,13.0,8.0,0.0,0.0,2.0,1.0,4.6,4.6,5.5,10.1,98.0,70.0,296.0,0.51,0.32,0.83,0.51,0.83,0.29,0.35,0.65,0.29,0.65,1006.0,94.0,92.0,47.0,723.0,4737.0,48.0,20.0,808.0,0.0,1.0,0.0,0.0
9,22.0,16000000.0,31.0,31.0,31.0,26.7,3.0,1.0,4.0,3.0,0.0,0.0,4.0,0.0,1.1,1.1,0.5,1.6,17.0,143.0,14.0,0.11,0.04,0.15,0.11,0.15,0.04,0.02,0.06,0.04,0.06,2322.0,39.0,4.0,0.0,1592.0,7491.0,11.0,3.0,1704.0,1.0,0.0,0.0,0.0
